site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,work_type,names,ore_ctrl,hrock_type,arock_type
Uley Mine,-34.79942,135.71048,OC,Australia,South Australia,,N,Graphite,,,Unknown,,Y,Producer,,,,,,Gneiss,
Koppio,-34.42777,135.90298,OC,Australia,South Australia,,N,Graphite,,,Unknown,,Y,Producer,,,,,,"Metasedimentary Rock,Schist",
Undercliff,-28.65895,152.20859,OC,Australia,New South Wales,,N,Graphite,,,Unknown,,Y,Producer,,,,Undercliff Mountain,,Clastic Sedimentary Rock,
Jack's Creek,-20.66347,147.86541,OC,Australia,Queensland,,N,Graphite,,,Unknown,,Y,Producer,,,,Sanson's Graphite Workings,,"Shale,Coal",
Groote Eylandt Manganese Deposits,-13.99719,136.49898,OC,Australia,Northern Territory*,,M,Manganese,,,Unknown,,Y,Producer,,,,Groote Eylandt Manganese Mine,,"Clay, Mud,Sandstone",
Greenvale Mine,-18.91356,144.98213,OC,Australia,Queensland,,M,"Nickel, Cobalt",,,Unknown,,Y,Producer,,,,Greenvale Nickel Mine,,"Gabbro,Peridotite",
Carnilya Hill Mine,-31.02942,121.78252,OC,Australia,Western Australia,,M,"Nickel, Copper",,,Unknown,,Y,Producer,,,,Carnilya Hill Nickel Mine,,Peridotite,
Agnew Mine,-27.8129,120.69924,OC,Australia,Western Australia,,M,"Nickel, Copper, Cobalt",,,Unknown,,Y,Producer,,,,Perseverance Deposit,,Dunite,
Julia Creek,-20.46344,141.81551,OC,Australia,Queensland,,M,Vanadium,,,Unknown,,N,Prospect,,,,Julia Creek Oil Shale Deposit,,"Siltstone,Limestone",
Tomago Deposit,-32.79631,151.71521,OC,Australia,New South Wales,,M,"Zirconium, REE, Thorium, Titanium, Metal",,,Unknown,,Y,Producer,"Ilmenite, Monazite, Rutile, Zircon",,,"Tomago Sand Pits, Tomago Sandbeds",,Sand and Gravel,
Allied Eneabba Deposit,-29.89611,115.26604,OC,Australia,Western Australia,,B,"Titanium, Metal, Zirconium, Kyanite, Thorium, REE",,,Unknown,,Y,Producer,"Ilmenite, Kyanite, Monazite, Zircon",,,Adamson Deposit,,,
Eneabba Amc Deposit,-29.77944,115.31604,OC,Australia,Western Australia,,B,"Titanium, Metal, Kyanite, REE, Thorium",,,Unknown,,N,Prospect,"Ilmenite, Kyanite, Monazite, Rutile",,,"Adamson North Deposit, Dobney Deposit, O'Connor Deposit",,Sand and Gravel,
Viney Creek,-32.66299,152.1652,OC,Australia,New South Wales,,M,"Zirconium, Titanium, Metal",,,Unknown,,Y,Producer,Rutile,,,"Durness, Tea Gardens",,Sand and Gravel,
Capel Amc Depost,-33.54597,115.54933,OC,Australia,Western Australia,,M,"Titanium, Metal, Zirconium, REE, Thorium",,,Unknown,,N,Prospect,"Ilmenite, Monazite, Zircon",,,Capel South Mine,,Sand and Gravel,
Capel North Deposit,-33.51264,115.58266,OC,Australia,Western Australia,,M,"Titanium, Metal, Zirconium, REE, Thorium",,,Unknown,,Y,Producer,"Ilmenite, Monazite, Zircon",,,Capel Mine,,Sand and Gravel,
Dunkley/Norton Deposit,-33.52097,115.54933,OC,Australia,Western Australia,,M,"Zirconium, Titanium, Metal, Thorium, REE",,,Unknown,,Y,Producer,"Ilmenite, Monazite, Zircon",,,,,Sand and Gravel,
Waroona Deposit,-32.82932,115.916,OC,Australia,Western Australia,,M,"Titanium, Metal, Zirconium",,,Unknown,,Y,Producer,"Ilmenite, Zircon",,,,,Sand and Gravel,
Yoganup Extended Deposit,-33.41264,115.68266,OC,Australia,Western Australia,,M,"Titanium, Metal, Zirconium, REE, Thorium",,,Unknown,,Y,Producer,"Ilmenite, Monazite, Zircon",,,,,Sand and Gravel,
Eneabba Amc,-29.81278,115.26604,OC,Australia,Western Australia,,M,"Zirconium, Titanium, Metal",,,Unknown,,Y,Producer,Ilmenite,,,Adamson North,,Sand and Gravel,
Capel Amc,-33.54597,115.54933,OC,Australia,Western Australia,,M,"Zirconium, Titanium, Metal",,,Unknown,,Y,Producer,Ilmenite,,,,,Sand and Gravel,
Cooljarloo,-30.66274,115.33269,OC,Australia,Western Australia,,M,"Zirconium, Titanium, Metal",,,Unknown,,N,Prospect,Ilmenite,,,,,Sand and Gravel,
Dunkley/Norton,-33.52097,115.54933,OC,Australia,Western Australia,,M,"Zirconium, Titanium, Metal",,,Unknown,,Y,Producer,Ilmenite,,,,,Sand and Gravel,
Gingin,-31.27938,115.86601,OC,Australia,Western Australia,,M,"Zirconium, Titanium, Metal",,,Unknown,,N,Prospect,Ilmenite,,,,,Sand and Gravel,
Minninup Hind-Dune,-33.3793,115.56601,OC,Australia,Western Australia,,M,"Zirconium, Titanium, Metal",,,Unknown,,Y,Producer,Ilmenite,,,,,Sand and Gravel,
Waroona North,-32.84599,115.916,OC,Australia,Western Australia,,M,"Zirconium, Titanium, Metal",,,Unknown,,Y,Producer,Ilmenite,,,,,Sand and Gravel,
Yoganup Extended,-33.41264,115.68266,OC,Australia,Western Australia,,M,"Zirconium, Titanium, Metal",,,Unknown,,Y,Producer,Ilmenite,,,,,Sand and Gravel,
Coates,-31.74604,116.38266,OC,Australia,Western Australia,,M,Vanadium,,,Unknown,,Y,Producer,,,,"Wundowie Vanadium Deposit., Coates Vanadium Deposit, Coates Siding Vanadium Deposit",,Gabbro,
Condobolin River,-33.07958,147.14861,OC,Australia,New South Wales,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,,
Foster,-38.68335,146.16352,OC,Australia,Victoria,,M,"Iridium, Osmium",,,Unknown,Placer,N,Occurrence,Iridosmine,,,,,,
Dundas,-41.82944,145.3318,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,,,,
Seal Rock Bay Beach Sands,-32.47772,152.55853,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Dubbo River,-32.24629,148.62359,OC,Australia,New South Wales,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,,
Narromine River,-32.22823,148.26527,OC,Australia,New South Wales,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,,
Grafton River,-29.95641,152.99857,OC,Australia,New South Wales,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,,
Lake Macquarie Beach Sands,-33.06574,151.58186,OC,Australia,New South Wales,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Murremurang Beach Sands,-25.73139,134.4885,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Ophir River,-32.16647,147.01159,OC,Australia,New South Wales,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,,
Aberfoyle River,-32.16647,147.01159,OC,Australia,New South Wales,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,,
Brunswick River Beach Sands,-25.73139,134.4885,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Cudegong River,-32.16647,147.01159,OC,Australia,New South Wales,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,,
Swansea Beach Sands,-33.08491,151.59297,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Black Head Beach,-34.78181,150.82713,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Shell Harbour Beach Sands,-34.5907,150.88408,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Macleay River Beach Sands,-30.87416,152.97577,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Pambula River,-36.8737,149.85543,OC,Australia,New South Wales,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,,
Woodburn Beach Sands,-29.10283,153.3394,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Ul'Ladalla Beach Sands,-35.36013,150.4424,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Gerringong Beach Sands,-34.80458,150.78908,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Coff's Harbour Beach Sands,-25.33993,153.12084,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Byron Bay Beach Sands,-28.56786,153.62079,OC,Australia,,,M,Platinum,,,Unknown,Placer,N,Occurrence,,,,,,Sand and Gravel,
Don River,-23.97747,150.62617,OC,Australia,Queensland,,M,"Platinum, Gold",,,Unknown,Placer,N,Occurrence,,,,,,,
Platina Lead,-32.8507,147.46416,OC,Australia,New South Wales,,M,Gold,"Platinum, Osmium, Iridium",,Unknown,Placer,U,Past Producer,Gold,,,,S. Flowing Ancient Stream,"Slate,Sandstone,Limestone",
Coopooro and Wairamba Creeks,-17.41394,145.99073,OC,Australia,Queensland,,M,"Gold, Platinum",,,Unknown,Placer,S,Occurrence,,,,,,Gravel,
Darling Hill,-31.95455,141.47373,OC,Australia,,,M,"Palladium, Nickel, Copper, Platinum","Gold, Silver, Cobalt, Iridium","Ruthenium, Rhodium",Unknown,,S,Past Producer,"Hematite, Limonite, Sperrylite",,,"Mount Darling Creek, Renalson's Claim, Mount Darling Creek Group, Red Hill Group, Darling Range Basin, Little Darling Creek","Sandstones And Mudstones Intruded By Pegmatite, Amphibolite And Serpentine And Highly Folded",Serpentinite,
Brickfield Gully,-26.17517,152.64056,OC,Australia,Queensland,,M,"Platinum, Gold",,,Unknown,Placer,N,Occurrence,,,,,,Gravel,
Ballina Beach,-28.87479,153.59218,OC,Australia,New South Wales,,M,Platinum,,,Unknown,Placer,Y,Producer,,,,,,Sand and Gravel,
Unnamed On Hill 2 Miles E. Fifield,-32.8507,147.4625,OC,Australia,New South Wales,,M,"Platinum, Gold",,,Unknown,Placer,N,Occurrence,,,,,,Conglomerate,
Unnamed-Beach Between Richmond River and 2 Miles S. of Evans Head,-29.15977,153.42913,OC,Australia,New South Wales,,M,Platinum,,"Tin, Titanium, Metal, PGE, Thorium, Gold",Unknown,Placer,S,Producer,"Ilmenite, Monazite, Rutile, Zircon",,,,,Sand and Gravel,
Unnamed,-33.08045,149.42774,OC,Australia,New South Wales,,M,"Platinum, Iridium, Osmium",,,Unknown,Placer,S,Occurrence,,,,,,Gravel,
Thompson River Copper Mine,-37.93059,146.39936,OC,Australia,Victoria,,M,"Silver, Palladium, Copper","Platinum, Gold, Nickel, Cobalt",,Unknown,,Y,Past Producer,"Bravoite, Chalcanthite, Chalcocite, Chalcopyrite, Cubanite, Cuprite, Electrum, Galena, Gold, Ilmenite, Malachite, Millerite, Pentlandite, Pyrite, Pyrrhotite, Tetrahedrite","Chlorite, Sericite",Surface/Underground,Walhalla Copper Mine,Sulfide Melt Caught In Structual Trap In Dike And Contact-Possible Remobilization Of Gold During Hydro. Alteration-Pt Not Moved As Much As Au,,Hornblendite
East Walhalla Copper and Platinum Mine,-37.93865,146.45547,OC,Australia,Victoria,,M,"Platinum, Gold, Copper, Silver",,,Unknown,,N,Occurrence,"Chalcopyrite, Malachite",,,,,Hornblendite,
Currumbin Beach,-28.19092,153.55858,OC,Australia,Queensland,,M,"Gold, Platinum",,,Unknown,Placer,N,Occurrence,"Cassiterite, Monazite",,,,,Sand and Gravel,
Unnamed,-32.16647,147.01159,OC,Australia,New South Wales,,M,Platinum,,PGE,Unknown,Placer,S,Producer,,,,,,Sand and Gravel,
Unnamed,-28.66313,152.99859,OC,Australia,New South Wales,,M,Platinum,,"Osmium, Gold, Iridium",Unknown,Placer,S,Producer,,,,,,Gravel,
Nineteen-Mile Creek Deposits,-41.4961,145.16515,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium, Platinum",,,Unknown,Placer,N,Prospect,"Chromite, Magnetite, Picotite, Pyrite",,,Bald Hill,,,
Caudry's Prospect,-41.4961,145.16515,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,,N,Prospect,"Chromite, Magnetite",,,Bald Hill,,,
Unnamed,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,,S,Producer,,,,,,,
Spero River,-42.66278,145.33178,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Occurrence,,,,Birch's Inlet,,,
Boyes River,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,,,,
Florentine River,-42.82945,146.33176,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium, Chromium",,,Unknown,Placer,N,Prospect,Chromite,,,,,,
Styx River,-42.82946,146.74842,OC,Australia,Tasmania,,M,"Gold, Iridium, Osmium, Chromium",,,Unknown,Placer,N,Prospect,Chromite,,,,,,
Renison Bell,-41.79611,145.4318,OC,Australia,Tasmania,,M,Tin,"Gold, PGE",,Unknown,,Y,Producer,"Bismuth, Cassiterite, Chalcopyrite, Galena, Ilmenite, Pyrite, Pyrrhotite, Siderite, Stannite","Apatite, Fluorite, Quartz, Talc, Tourmaline",,,,Dolomite,Granite
Barnes Creek,-41.74611,145.3318,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium",,,Unknown,Placer,N,Prospect,Cassiterite,,,Huskisson Valley Area,,,
Tin Creek,-41.74611,145.3318,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium, Tin",,,Unknown,Placer,N,Prospect,Cassiterite,,,Huskisson Valley Area,,,
Mcarthur Creek,-41.74611,145.3318,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Huskisson Valley Area,,,
Osmiridium Creek,-41.74611,145.3318,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium, Platinum, Tin",,,Unknown,Placer,N,Prospect,Cassiterite,,,Huskisson Valley Area,,,
Merton Creek,-41.74611,145.3318,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium, Tin, Platinum",,,Unknown,Placer,N,Prospect,"Cassiterite, Chromite",,,Huskisson Valley Area,,,
Chromite Creek,-41.74611,145.3318,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium, Tin",,,Unknown,Placer,N,Prospect,Cassiterite,,,Huskisson Valley Area,,,
Keenan Creek,-41.74611,145.3318,OC,Australia,Tasmania,,M,"Gold, Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,,,,
Harmon River Gravels,-41.74611,145.3318,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium, Tin",,,Unknown,Placer,N,Prospect,Cassiterite,,,,,,
Limestone Creek,-41.74611,145.3318,OC,Australia,Tasmania,,M,"Gold, Iridium, Silver, Lead, Osmium",,,Unknown,Placer,N,Prospect,,,,,,,
Conglomerate Plain,-41.74611,145.3318,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium, Tin",,,Unknown,Placer,N,Prospect,Cassiterite,,,,,,
Riley Creek,-41.74611,145.3318,OC,Australia,Tasmania,,M,"Tin, Gold, Iridium, Osmium",,,Unknown,,N,Prospect,Cassiterite,,,,,,
Badger Plain,-41.66277,145.16515,OC,Australia,Tasmania,,M,"Iridium, Gold, Osmium",,,Unknown,Placer,N,Occurrence,,,,,,,
Savage River,-41.66277,145.16515,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Savage River District,,,
Castra River,-41.66277,145.16515,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,,,,
Stanton & Loughnan's Claim,-41.66277,145.16515,OC,Australia,Tasmania,,M,"Osmium, Iridium, Gold, Bismuth",,,Unknown,Placer,Y,Past Producer,Chromite,,,,,,
Tunbridge & Kelley's Prospect,-41.66277,145.16515,OC,Australia,Tasmania,,M,"Iridium, Osmium, Ruthenium",,,Unknown,Placer,N,Prospect,,,,,,,
Caudry Workings,-41.66277,145.16515,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,,N,Prospect,"Bronzite, Chromite",,,Loughnan Creek,,,
Fitzgerald's Prospect,-41.66277,145.16515,OC,Australia,Tasmania,,M,"Osmium, Iridium",,"Chromium, Gold, Bismuth",Unknown,Placer,Y,Past Producer,Bronzite,,,Bald Hills Os Mines,,,
Heazlewood River Deposits,-41.66277,145.16515,OC,Australia,Tasmania,,M,"Gold, Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,,,,
Jones Creek Workings,-41.66277,145.16515,OC,Australia,Tasmania,,M,"Gold, Platinum, Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,,,,
Warner Creek Workings,-41.49611,145.33181,OC,Australia,Tasmania,,M,"Gold, Platinum, Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,Warner Creek Valley,,,
Unnamed,-41.96921,146.62883,OC,Australia,Tasmania,,M,"Copper, Silver, Nickel","Palladium, Gold, Platinum",,Unknown,,Y,Producer,"Chalcopyrite, Pentlandite, Pyrrhotite",,,,Occur At Contact Of Slates And Serpentine,"Mafic Intrusive Rock,Gabbro,Norite",
Littlechild,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Hopper Creek Area,,,
Daniels,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,Hopper Creek Area,,,
Webster and Bernard,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium, Gold",,,Unknown,Placer,N,Prospect,,,,Adam River Falls,,Slate,
Harrison and Brandstater,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Sawback Creek Area,,,
R.J. Stacey,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,Sawback Creek Area,,,
Williams,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Williams Creek Area,,,
Stewart,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium, Gold",,,Unknown,Placer,N,Prospect,,,,West of Adam River,,,
Scanlon and Morgan,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium, Gold",,,Unknown,Placer,N,Prospect,,,,West of Adam River,,,
O'Connell and Welsh,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,West of Adam River,,,
Lavelle,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,East Football Hill Area,,,
Wright,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,East Football Hill Area,,,
W. Hall,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,East Football Hill Area,,,
Scott and Party,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,East Football Hill Area,,,
"Farquhar, Grenda, & Newitt",-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,East Football Hill,,,
Tribolet Bros.,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,East Football Hill Area,,,
W.E. Kelly,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,East Football Hill Area,,,
Ruthven,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,East Football Hill Area,,,
"Street, Fleming and Party",-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,East Football Hill Area,,,
Smith and Higginson,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,East Football Hill Area,,,
Redpath,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,East Football Hill Area,,,
Brown and Betts,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,East Football Hill Area,,,
C. Walker,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,East Foothill Area,,,
Mclennan,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,East Football Hill Area,,,
McKendrick,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,West Football Hill Area,,,
Sweeney and Donnicker,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,West Football Hill Area,,,
J. Hayes and F. Chatwin,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,West Football Hill Area,,,
Manning Bros.,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,West Football Hill Area,,,
L.G. Reid,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,West Football Hill Area,,,
Ticknell and Tomlin,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,West Football Hill Area,,,
"Etchell, Cobbing & Keygan",-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,West Football Hill,,,
Thompson,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Occurrence,,,,Card Creek Area,,,
A. Thomas,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Card Creek Area,,,
Card and Booth,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Card Creek Area,,,
C.A. Clark,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Batchelor Creek Area,,,
Lonergan and Hanson,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Batchelor Creek,,,
Major,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Batchelor Creek Area,,,
Allan,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Batchelor Creek Area,,,
Burnley,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Batchelor Creek Area,,,
Fraser and Saville,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Batchelor Creek Area,,,
H. Donahoo and W.J. Batchelor,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Batchelor Creek Area,,,
Griffiths and Donahoo,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Batchelor Creek Area,,,
P. Hartnett,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Batchelor Creek Area,,,
J. Donnelly,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Batchelor Creek Area,,,
Mullen and Illslow,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Batchelor Creek Area,,,
T. Dunn and Salter,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Smith Creek Area,,,
Castle and Duncan,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Smith Creek Area,,,
"Watson, Dobson, & Roggerri",-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,Smith Creek Area,,,
Marriott and Splann,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Smith Creek Area,,,
T. Dickenson,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Smith Creek Area,,,
Woods and Party,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Chromium, Osmium",,,Unknown,Placer,N,Prospect,Chromite,,,Smith Creek Area,,,
W.H. Smith,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Smith Creek Area,,,
Thorne,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Smith Creek Area,,,
Bateman,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,Baptist Creek Area,,,
Doherty and Chenery,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Baptist Creek Area,,,
D.J. Fullerton,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,Baptist Creek Area,,,
"Webb, Porter, Shield & Button",-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Baptist Creek Area,,,
Undy,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Baptist Creek Area,,,
Salter,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,Baptist Creek Area,,,
Prowse and Major,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Baptist Creek Area,,,
"Hayes, Ripper and Lea",-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
Antenen and Donouch,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
Hall and Hilton,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
Jan,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
Allan,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Iridium, Osmium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
"Brown, Warburton, & Brown",-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
W. Powell and W.T. Hansen,-42.66279,146.33176,OC,Australia,Tasmania,,M,"Osmium, Iridium",,,Unknown,Placer,N,Prospect,,,,Moore Creek Area,,,
